
New Run


Round 1:

Epoch 1: train_loss=0.227543, test_loss=0.559064, acc=0.0000
Epoch 2: train_loss=0.188580, test_loss=0.489007, acc=0.0000
Epoch 3: train_loss=0.154318, test_loss=0.424174, acc=0.0000
Epoch 4: train_loss=0.124344, test_loss=0.364126, acc=0.0000
Epoch 5: train_loss=0.098391, test_loss=0.308480, acc=0.0000
Epoch 6: train_loss=0.076312, test_loss=0.257038, acc=0.0000
Epoch 7: train_loss=0.058122, test_loss=0.209902, acc=0.0000
Epoch 8: train_loss=0.043997, test_loss=0.167477, acc=0.0000
Epoch 9: train_loss=0.034194, test_loss=0.130407, acc=0.0000
Epoch 10: train_loss=0.028894, test_loss=0.099473, acc=0.0000
Epoch 11: train_loss=0.027953, test_loss=0.075386, acc=0.0000
Epoch 12: train_loss=0.030560, test_loss=0.058389, acc=0.0000
Epoch 13: train_loss=0.035050, test_loss=0.047895, acc=0.0000
Epoch 14: train_loss=0.039340, test_loss=0.042715, acc=0.0093
Epoch 15: train_loss=0.041844, test_loss=0.041699, acc=0.0124
Epoch 16: train_loss=0.041982, test_loss=0.044079, acc=0.0016
Epoch 17: train_loss=0.040040, test_loss=0.049428, acc=0.0000
Epoch 18: train_loss=0.036778, test_loss=0.057474, acc=0.0000
Epoch 19: train_loss=0.033091, test_loss=0.067908, acc=0.0000
Epoch 20: train_loss=0.029766, test_loss=0.080245, acc=0.0000
Epoch 21: train_loss=0.027354, test_loss=0.093748, acc=0.0000
Epoch 22: train_loss=0.026104, test_loss=0.107418, acc=0.0000
Epoch 23: train_loss=0.025964, test_loss=0.120076, acc=0.0000
Epoch 24: train_loss=0.026636, test_loss=0.130543, acc=0.0000
Epoch 25: train_loss=0.027673, test_loss=0.137887, acc=0.0000
Epoch 26: train_loss=0.028623, test_loss=0.141614, acc=0.0000
Epoch 27: train_loss=0.029153, test_loss=0.141705, acc=0.0000
Epoch 28: train_loss=0.029116, test_loss=0.138532, acc=0.0000
Epoch 29: train_loss=0.028535, test_loss=0.132716, acc=0.0000
Epoch 30: train_loss=0.027561, test_loss=0.125001, acc=0.0000
Epoch 31: train_loss=0.026403, test_loss=0.116158, acc=0.0000
Epoch 32: train_loss=0.025273, test_loss=0.106907, acc=0.0000
Epoch 33: train_loss=0.024340, test_loss=0.097872, acc=0.0000
Epoch 34: train_loss=0.023703, test_loss=0.089552, acc=0.0000
Epoch 35: train_loss=0.023377, test_loss=0.082313, acc=0.0000
Epoch 36: train_loss=0.023305, test_loss=0.076390, acc=0.0000
Epoch 37: train_loss=0.023376, test_loss=0.071900, acc=0.0000
Epoch 38: train_loss=0.023458, test_loss=0.068871, acc=0.0000
Epoch 39: train_loss=0.023438, test_loss=0.067257, acc=0.0000
Epoch 40: train_loss=0.023242, test_loss=0.066957, acc=0.0000
Epoch 41: train_loss=0.022854, test_loss=0.067824, acc=0.0000
Epoch 42: train_loss=0.022311, test_loss=0.069666, acc=0.0000
Epoch 43: train_loss=0.021687, test_loss=0.072243, acc=0.0000
Epoch 44: train_loss=0.021064, test_loss=0.075269, acc=0.0000
Epoch 45: train_loss=0.020513, test_loss=0.078412, acc=0.0000
Epoch 46: train_loss=0.020074, test_loss=0.081313, acc=0.0000
Epoch 47: train_loss=0.019746, test_loss=0.083615, acc=0.0000
Epoch 48: train_loss=0.019491, test_loss=0.084999, acc=0.0000
Epoch 49: train_loss=0.019252, test_loss=0.085229, acc=0.0000
Epoch 50: train_loss=0.018966, test_loss=0.084186, acc=0.0000

New Run


Round 1:

Epoch 1: train_loss=0.176205, test_loss=0.128853, acc=0.0000
